"p","y","t","fip_title","c","q","res"
"F1","2020","MD","SeaDatNET_CDI_FIP_2020","SeaDataNet-CDI","F1-MD","SDN_CDI_PID"
"F1","2021","MD","SeaDataNET_CDI_FIP_2021","SeaDataNet-CDI","F1-MD","SDN_CDI_PID"
"F1","2019","MD","SeaDataNET_Sextant_FIP_2019","SeaDataNet-Sextant","F1-MD","DOI"
"F1","2020","MD","SeaDataNET_Sextant_FIP_2020","SeaDataNet-Sextant","F1-MD","DOI"
"F1","2021","MD","SeaDataNET_Sextant_FIP_2021","SeaDataNet-Sextant","F1-MD","DOI"
"F1","2019","MD","eLTER_FIP_2019","eLTER-RI","F1-MD","DOI"
"F1","2020","MD","eLTER_FIP_2020","eLTER-RI","F1-MD","DOI"
"F1","2019","MD","eLTER_FIP_2019","eLTER-RI","F1-MD","Handle_System"
"F1","2020","MD","eLTER_FIP_2020","eLTER-RI","F1-MD","Handle_System"
"F1","2021","MD","eLTER_FIP_2021","eLTER-RI","F1-MD","DOI"
"F1","2021","MD","eLTER_FIP_2021","eLTER-RI","F1-MD","Handle_System"
"F1","2021","MD","IAGOS_FIP_2021","iagos","F1-MD","ePIC"
"F1","2021","MD","IAGOS_FIP_2021","iagos","F1-MD","DOI"
"F1","2020","MD","IAGOS_FIP_2020","iagos","F1-MD","ePIC"
"F1","2020","MD","IAGOS_FIP_2020","iagos","F1-MD","DOI"
"F1","2019","MD","IAGOS_FIP_2019","iagos","F1-MD","DOI"
"F1","2019","MD","LifeWatch_Marine_FIP_2019","lw-marine","F1-MD","URI"
"F1","2020","MD","LifeWatch_Marine_FIP_2020","lw-marine","F1-MD","URI"
"F1","2021","MD","LifeWatch_Marine_FIP_2021","lw-marine","F1-MD","URI"
"F1","2019","MD","LifeWatch_Marine_FIP_2019","lw-marine","F1-MD","DOI"
"F1","2020","MD","LifeWatch_Marine_FIP_2020","lw-marine","F1-MD","DOI"
"F1","2021","MD","LifeWatch_Marine_FIP_2021","lw-marine","F1-MD","DOI"
"F1","2019","MD","SIOS_FIP_2019","sios","F1-MD","UUID"
"F1","2021","MD","SIOS_FIP_2021","sios","F1-MD","UUID"
"F1","2020","MD","SIOS_FIP_2020","sios","F1-MD","UUID"
"F1","2021","D","ACTRIS_ARES_FIP_2021","ACTRIS-ARES","F1-D","Handle_System"
"F1","2021","D","ACTRIS_ARES_FIP_2021","ACTRIS-ARES","F1-D","DOI"
"F1","2019","D","ACTRIS-ASC_FIP_2019","ACTRIS-ASC","F1-D","DOI"
"F1","2020","D","ACTRIS-ASC_FIP_2020","ACTRIS-ASC","F1-D","DOI"
"F1","2021","D","ACTRIS-ASC_FIP_2021","ACTRIS-ASC","F1-D","DOI"
"F1","2021","D","ACTRIS_CLU_FIP_2021","ACTRIS_CLU","F1-D","Handle_System"
"F1","2021","D","ACTRIS_CLU_FIP_2021","ACTRIS_CLU","F1-D","DOI"
"F1","2021","D","ACTRIS-DVAS_FIP_2021","ACTRIS_DVAS","F1-D","DOI"
"F1","2020","D","ACTRIS-GRES_FIP_2020","ACTRIS_GRES","F1-D","DOI"
"F1","2021","D","ACTRIS-GRES_FIP_2021","ACTRIS_GRES","F1-D","DOI"
"F1","2020","D","ACTRIS-GRES_FIP_2020","ACTRIS_GRES","F1-D","ePIC"
"F1","2021","D","ACTRIS-GRES_FIP_2021","ACTRIS_GRES","F1-D","ePIC"
"F1","2019","D","ACTRIS-GRES_FIP_2019","ACTRIS_GRES","F1-D","DOI"
"F1","2020","D","ACTRIS-InSitu_FIP_2020","ACTRIS_InSitu","F1-D","DOI"
"F1","2021","D","ACTRIS-InSitu_FIP_2021","ACTRIS_InSitu","F1-D","DOI"
"F1","2022","D","ACTRIS-ASC_FIP_2022","AERIS","F1-D","DOI"
"F1","2019","D","AnaEE_CREA_FIP_2019","AnaEE_CREA","F1-D","DOI"
"F1","2020","D","AnaEE_CREA_FIP_2020","AnaEE_CREA","F1-D","DOI"
"F1","2021","D","AnaEE_CREA_FIP_2021","AnaEE_CREA","F1-D","DOI"
"F1","2020","D","AnaEE_FIP_2020","Anaee","F1-D","DOI"
"F1","2021","D","AnaEE_FIP_2021","Anaee","F1-D","DOI"
"F1","2019","D","AnaEE_FIP_2019","Anaee","F1-D","DOI"
"F1","2019","D","Euro-Argo_FIP_2019","ArgoGdacFairImplementationCommunityPublication","F1-D","DOI"
"F1","2020","D","EuroArgo_FIP_2020","ArgoGdacFairImplementationCommunityPublication","F1-D","DOI"
"F1","2021","D","Euro-Argo_FIP_2021","ArgoGdacFairImplementationCommunityPublication","F1-D","DOI"
"F1","2021","D","DANUBIUS_FIP_2021","DANUBIUS","F1-D","DOI"
"F1","2020","D","DiSSCo_FIP_2020","DiSSCo","F1-D","NSID"
"F1","2021","D","DiSSCo_FIP_2021","DiSSCo","F1-D","NSID"
"F1","2021","D","EISCAT_FIP_2021","EISCAT","F1-D","Handle_System"
"F1","2019","D","EISCAT_FIP_2019","EISCAT","F1-D","Handle_System"
"F1","2020","D","EISCAT_FIP_2020","EISCAT","F1-D","Handle_System"
"F1","2022","D","EMSO ERIC FIP 2022","EMSO","F1-D","PURL"
"F1","2021","D","EMSO ERIC FIP 2021","EMSO","F1-D","PURL"
"F1","2021","D","EPOS_ICS-C_FIP_2021","EPOS-ERIC","F1-D","ORCID"
"F1","2022","D","ICOS_FIP_2022","ICOS","F1-D","ePIC"
"F1","2022","D","ICOS_FIP_2022","ICOS","F1-D","DOI"
"F1","2022","D","ICOS_FIP_2022","ICOS","F1-D","Handle_System"
"F1","2019","D","ICOS_FIP_2019","ICOS","F1-D","ePIC"
"F1","2021","D","ICOS_FIP_2021","ICOS","F1-D","ePIC"
"F1","2020","D","ICOS_FIP_2020","ICOS","F1-D","ePIC"
"F1","2019","D","ICOS_FIP_2019","ICOS","F1-D","DOI"
"F1","2021","D","ICOS_FIP_2021","ICOS","F1-D","DOI"
"F1","2020","D","ICOS_FIP_2020","ICOS","F1-D","DOI"
"F1","2019","D","ICOS_FIP_2019","ICOS","F1-D","Handle_System"
"F1","2021","D","ICOS_FIP_2021","ICOS","F1-D","Handle_System"
"F1","2020","D","ICOS_FIP_2020","ICOS","F1-D","Handle_System"
"F1","2022","D","LifeWatch_Ecosystems_FIP_2022","LWERIC_Ecosystem","F1-D","DOI"
"F1","2020","D","LifeWatch_Ecosystems_FIP_2020","LWERIC_Ecosystem","F1-D","DOI"
"F1","2021","D","LifeWatch_Ecosystems_FIP_2021","LWERIC_Ecosystem","F1-D","DOI"
"F1","2019","D","LifeWatch_Ecosystems_FIP_2019","LWERIC_Ecosystem","F1-D","DOI"
"F1","2019","D","SeaDataNET_CDI_FIP_2019","SeaDataNet-CDI","F1-D","B2HANDLE"
"F1","2020","D","SeaDatNET_CDI_FIP_2020","SeaDataNet-CDI","F1-D","B2HANDLE"
"F1","2021","D","SeaDataNET_CDI_FIP_2021","SeaDataNet-CDI","F1-D","B2HANDLE"
"F1","2019","D","SeaDataNET_Sextant_FIP_2019","SeaDataNet-Sextant","F1-D","DOI"
"F1","2020","D","SeaDataNET_Sextant_FIP_2020","SeaDataNet-Sextant","F1-D","DOI"
